iddespesa;descricao;valor;vencimento;saldo
1;Elias ;20;24/06/2018;0
2;mercado;27;24/06/2018;0
3;produtos guinho ;18;25/06/2018;0
4;simples nacional, Elias ;49;26/06/2018;0
5;Sabesp;49;03/07/2018;0
6;Aluguel;800;05/07/2018;0
7;Bobina;25;05/07/2018;0
8;mercado;9;03/07/2018;0
9;Chaveiros brinde;298;06/07/2018;0
10;Internet;20;07/07/2018;0
11;jheni;600;11/07/2018;0
12;Mercado;13;12/07/2018;0
13;cocada;20;14/07/2018;0
14;250.00;0;17/07/2018;0
15;cocada;10;28/07/2018;0
16;luz;74;07/08/2018;0
17;agua;51;07/08/2018;0
18;Aluguel;400;09/08/2018;0
19;Jheny;600;11/08/2018;0
20;internet;20;15/08/2018;0
21;aluguel;400;10/09/2018;0
22;jheny;600;10/09/2018;0
